,world_rank,university_name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio
212,201-250,university of fribourg,switzerland,32.3,87.4,32.9,64.1,60.8,-,10416.0,46.9,19%,58:42:00
213,201-250,fudan university,china,44.7,38.6,30.4,61.1,28,-,32175.0,12.2,11%,50:50:00
214,201-250,george washington university,usa,44.7,48.1,23.5,65.7,29.5,-,20541.0,12.0,16%,56:44:00
215,201-250,goethe university frankfurt,germany,35.8,60.2,28.6,79.3,38.1,-,31861.0,9.3,15%,60:40:00
216,201-250,university of hawai’i at mānoa,unisted states of america,32.0,63.4,35.5,67.7,44.7,-,nan,nan,nan,nan
217,201-250,hong kong polytechnic university,hong kong,29.3,79.0,35.2,63.3,45.1,-,22064.0,25.9,26%,51:49:00
218,201-250,university of illinois at chicago,usa,40.9,58.1,29.2,63.2,38,-,24313.0,9.2,17%,53:47:00
219,201-250,indiana university,usa,43.0,41.2,27.3,74.8,-,-,62468.0,13.6,13%,53:47:00
220,201-250,university of iowa,usa,41.0,32.3,26.7,73.5,54.1,-,27526.0,11.6,11%,52:48:00
221,201-250,johannes gutenberg university of mainz,germany,34.9,53.3,21.7,72.6,70.7,-,35609.0,32.6,10%,58:42:00
222,201-250,joseph fourier university,france,34.2,58.6,21.6,83.2,31.6,-,16130.0,12.1,13%,nan
223,201-250,university of kiel,germany,32.3,49.4,20.5,89.5,-,-,24444.0,23.8,8%,53:47:00
224,201-250,laval university,canada,37.5,63.8,31.7,62.2,57.5,-,27227.0,16.2,12%,nan
225,201-250,medical university of vienna,austria,26.6,81.7,14.6,89.1,33.9,-,7426.0,2.9,28%,50:50:00
226,201-250,northeastern university,usa,35.5,58.7,20.6,84.0,32.9,-,18539.0,15.1,26%,50:50:00
227,201-250,oregon health and science university,usa,27.8,21.4,15.7,96.0,44.6,-,2838.0,1.1,3%,65:35:00
228,201-250,university of otago,new zealand,30.7,89.9,30.5,74.9,31.5,-,18600.0,20.3,21%,57:43:00
229,201-250,university of ottawa,canada,37.1,69.9,36.7,61.5,41.5,-,36733.0,26.3,15%,60:40:00
230,201-250,paris descartes university,france,24.6,49.1,28.8,83.3,29,-,34691.0,26.9,15%,63:37:00
231,201-250,peter the great st petersburg polytechnic university,russia,30.8,29.6,17.8,97.4,42.5,-,17155.0,7.2,8%,40 : 60
